price,area,bedrooms,bathrooms,location
Rs 20.80 Lacs,42 SQYD,2 Beds,1 Bath,"Allahwala Town - Sector 31-G, Karachi•"
Rs 65 Lacs,84 SQYD,0,0,"Allahwala Town - Sector 31-G, Karachi•"
Rs 25 Lacs,50 SQYD,2 Beds,1 Bath,"Korangi Industrial Area, Karachi•"
Rs 2.15 Crore,"1,450 SQFT",3 Beds,3 Baths,"Saima Presidency, Karachi•"
Rs 8.50 Lac,80 SQYD,0,0,"Gulshan-e-Maymar, Karachi•"
Rs 40 Lacs,"1,100 SQYD",2 Beds,3 Baths,"Bahria Town Karachi, Karachi•"
Rs 18 Crore,500 SQYD,6 Beds,7 Baths,"DOHS Phase 2, Karachi•"
Rs 5.99 Crore,300 SQYD,5 Beds,6 Baths,"Askari 6, Karachi•"
Rs 2.95 Crore,120 SQYD,4 Beds,4 Baths,"Capital Cooperative Housing Society, Karachi•"
Rs 70 Lacs,955 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 84 Lacs,"1,150 SQFT",3 Beds,3 Baths,"Paradise Arcade, Karachi•"
Rs 1.35 Crore,235 SQYD,3 Beds,3 Baths,"Bahria Town - Precinct 31, Karachi•"
Rs 8 Lac,600 SQFT,0,0,"Surjani Town - Sector 5D, Karachi•"
Rs 2.04 Crore,"1,140 SQFT",3 Beds,3 Baths,"Ocean Gardens, Karachi•"
Rs 140 Crore,"1,200 SQYD",2 Beds,2 Baths,"Burj-Ul-Harmain, Karachi•"
Rs 14.50 Crore,500 SQYD,6 Beds,7 Baths,"DHA Phase 7 Extension, Karachi•"
Rs 14.50 Crore,500 SQYD,6 Beds,7 Baths,"DHA Phase 7 Extension, Karachi•"
Rs 14.40 Crore,500 SQYD,6 Beds,7 Baths,"DHA Phase 7, Karachi•"
Rs 88 Lacs,330 SQFT,0,0,"Badar Commercial Area, Karachi•"
Rs 1.05 Crore,900 SQFT,2 Beds,2 Baths,"North Nazimabad - Block L, Karachi•"
Rs 11.95 Crore,500 SQYD,6 Beds,7 Baths,"DHA Phase 6, Karachi•"
Rs 1.05 Crore,900 SQFT,2 Beds,2 Baths,"North Nazimabad - Block L, Karachi•"
Rs 3.60 Crore,120 SQYD,4 Beds,6 Baths,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Karachi•"
Rs 5.75 Crore,"1,188 SQFT",0,0,"Sanober Twin Tower, Karachi•"
Rs 52 Crore,495 SQYD,0,0,"Gulistan-e-Jauhar Block 1, Karachi•"
Rs 2.29 Crore,200 SQYD,3 Beds,3 Baths,"Bahria Town - Precinct 2, Karachi•"
Rs 1.50 Crore,184 SQFT,0,0,"Gulistan-e-Jauhar Block 15, Karachi•"
Rs 14 Crore,"3,300 SQYD",0,0,"Federal B Area - Block 16, Karachi•"
Rs 1.65 Crore,152 SQYD,3 Beds,3 Baths,"Bahria Homes - Iqbal Villas, Karachi•"
Rs 65 Lacs,400 SQYD,0,0,"Gulshan-e-Mehran - Block 2A, Karachi•"
Rs 52 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 2.25 Crore,160 SQYD,6 Beds,6 Baths,"Saima Arabian Villas, Karachi•"
Rs 29 Lacs,120 SQYD,0,0,"Sachal Sarmast Society, Karachi•"
Rs 31 Lacs,125 SQYD,0,0,"DHA City - Sector 6, Karachi•"
Rs 1.50 Crore,"1,050 SQFT",2 Beds,2 Baths,"Sumaira Residency, Karachi•"
Rs 55 Lacs,700 SQFT,2 Beds,2 Baths,"Scheme 33, Karachi•"
Rs 7.50 Lac,80 SQYD,2 Beds,2 Baths,"Northern Bypass, Karachi•"
Rs 6.60 Crore,475 SQYD,0,0,"Gulistan-e-Jauhar Block 19, Karachi•"
